iter	Passed	Remaining
0	2	2031
1	3	1671
2	5	1791
3	8	2099
4	10	211155	12	2090
6	14	2118
7	16	2008
8	18	1988
9	19	1956110	21	1929111	22	1874112	24	1866113	26	1834114	27	1816115	29	1816116	30	175917	32	1767
18	34	1785
19	45	2214
20	47	2228
21	49	2209
22	51	2184
23	53	2181
24	54	2136
25	58	2196
26	61	2198
27	62	2174
28	65	2177
29	66	2159
30	68	2140
31	70	2133
32	73	2150
33	75	2145
34	77	2134
35	81	2173
36	83	2169
37	84	2148
38	87	2152
39	89	2139
40	91	2136
41	94	2160
42	97	2164
43	99	2156
44	101	2152
45	103	2145
46	105	2132
47	107	2131
48	108	2113
49	110	2101
50	112	2098
51	115	2101
52	118	2110
53	120	2111
54	122	2108
55	124	2098
56	126	2100
57	128	2091
58	131	2095
59	132	2080
60	134	2072
61	136	2066
62	138	2054
63	140	2057
64	142	2052
65	144	2039
66	146	2042
67	148	2033
68	150	2025
69	151	2016
70	153	2011
71	156	2013
72	158	2007
73	160	2004
74	161	1993
75	163	1993
76	167	2008
77	169	2007
78	171	1998
79	173	1997
80	175	1991
81	177	1989
82	179	1987
83	181	1980
84	183	1974
85	184	1964
86	185	1949
87	187	1943
88	190	1947
89	192	1949
90	194	1947
91	196	1943
92	199	1942
93	200	1936
94	202	1930
95	206	1940
96	207	1935
97	210	1939
98	212	1934
99	214	1934
100	216	1927
101	218	1919
102	221	1926
103	223	1922
104	224	1913
105	226	1912
106	228	1909
107	231	1911
108	233	1910
109	235	1907
110	236	1897
111	239	1898
112	241	1893
113	242	1887
114	244	1880
115	246	1875
116	248	1873
117	250	1871
118	252	1870
119	255	1875
120	257	1868
121	259	1868
122	261	1865
123	263	1860
124	265	1861
125	268	1860
126	270	1860
127	271	1852
128	273	1844
129	274	1838
130	276	1834
131	278	1831
132	280	1828
133	282	1826
134	284	1824
135	287	1826
136	288	1819
137	292	1824
138	293	1820
139	295	1818
140	298	1815
141	299	1811
142	302	18143143	304	18144144	306	18145145	307	18146146	309	17147	322	1857
148	324	1855
149149	316	17150150	318	17151	332	1853
152	334	1849
153153	325	17154154	327	17155155	329	17156156	331	17157157	332	17158158	334	17159159	336	17160160	338	17161161	340	17162162	342	17163	356	1819
164	358	1815
165	360	1812
166	363	1810
167167	353	17168	366	1801
169	369	1801
170	372	1804
171	373	1797
172	376	1798
173	378	1797
174	380	1794
175175	372	17176176	374	17177177	376	17178178	377	17179179	378	17180	391	1772
181	393	1766
182	394	1762
183	396	1758
184	397	1752
185	400	1752
186	402	1751
187	405	1749
188	407	1748
189	409	1744
190	410	1739
191	412	1735
192	414	1734
193	416	1731
194	419	1731
195	422	1731
196	425	1732
197	427	1731
198	429	1729
199	431	1727
200	434	1727
201	436	1725
202	439	1723
203	441	1722
204	444	1722
205	445	1718
206	447	1716
207	450	1715
208	452	1712
209	454	1710
210	456	1708
211	459	1709
212	462	1710
213	464	1707
214	466	1705
215	469	1705
216	471	1702
217	473	1698
218	475	1696
219	478	1696
220	482	1700
221	484	1698
222	486	1693
223	487	1689
224	489	1685
225	492	1685
226	494	1684
227	496	1681
228	498	1676
229	500	1674
230	501	1669
231	503	1667
232	505	1663
233	509	1666
234	510	1662
235	512	1659
236	514	1657
237	516	1654
238	518	1651
239	519	1645
240	521	1641
241	522	1636
242	524	1632
243	527	1633
244	528	1629
245	530	1626
246	533	1625
247	534	1621
248	536	1618
249	538	1616
250	540	1613
251	544	1615
252	546	1614
253	548	1611
254	550	1607
255	551	1602
256	553	1598
257	554	1594
258	556	1591
259	558	1589
260	559	1584
261	561	1581
262	564	1580
263	565	1576
264	567	1573
265	569	1571
266	572	1570
267	575	1570
268	577	1569
269	579	1566
270	581	1563
271	583	1560
272	585	1558
273	587	1555
274	589	1555
275	592	1553
276	593	1550
277	595	1545
278	596	1541
279	597	1537
280	599	1533
281	601	1530
282	603	1528
283	604	1525
284	607	1524
285	609	1522
286	611	1519
287	614	1518
288	616	1516
289	619	1516
290	620	1512
291	622	1508
292	624	1507
293	626	1503
294	628	1501
295	630	1498
296	631	1494
297	634	1494
298	636	1492
299	638	1489
300	639	1485
301	640	1481
302	641	1476
303	644	1474
304	645	1471
305	646	1466
306	647	1462
307	650	1460
308	652	1459
309	656	1460
310	657	1457
311	659	1453
312	660	1449
313	662	1447
314	664	1445
315	666	1443
316	668	1440
317	670	1437
318	671	1434
319	673	1431
320	675	1428
321	677	1426
322	678	1423
323	680	1419
324	681	1415
325	684	1414
326	686	1412
327	688	1410
328	689	1406
329	691	1402
330	693	1401
331	695	1400
332	699	1400
333	701	1398
334	703	1395
335	704	1392
336	706	1389
337	723	1416
338	725	1414
339	728	1413
340	731	1413
341	735	1414
342	739	1415
343	745	1421
344	746	1417
345	748	1415
346	752	1415
347	759	1423
348	762	1422
349	769	1428
350	770	1425
351	774	1425
352	776	1423
353	780	1423
354	784	1424
355	786	1422
356	789	1421
357	792	1421
358	797	1424
359	799	1420
360	801	1419
361	802	1414
362	804	1411
363	807	1410
364	809	1408
365	812	1406
366	818	1411
367	819	1408
368	823	1407
369	825	1405
370	828	1405
371	832	1405
372	835	1403
373	838	1402
374	844	1407
375	850	1411
376	858	1418
377	860	1416
378	869	1425
379	883	1442
380	889	1445
381	892	1443
382	896	1444
383	900	1444
384	908	1451
